"periods","CETs","GECs","HBCM","GDCM"
1,-0.0358110319728252,-0.488707673219371,-0.0385237616693093,-0.0217701596296363
2,-0.0436776458763217,-0.475402834912162,-0.0420499324630974,-0.0234989073345801
3,-0.0520440949592272,-0.457111496728617,-0.0451586270828478,-0.0246836543951221
4,-0.060674681817288,-0.437310589212069,-0.0486207481337303,-0.0261772945816466
5,-0.0691731709154707,-0.408136112776444,-0.0505740156161222,-0.0267585378225537
6,-0.0771590938194134,-0.373348823111996,-0.0509753848017399,-0.0262276517816715
7,-0.0841647078663169,-0.326981686082211,-0.0489664666915472,-0.0239218404575451
8,-0.0901582211279586,-0.292340018939519,-0.0493375461484363,-0.0242652015958289
9,-0.0949815926469578,-0.259235674544484,-0.0501070436899125,-0.0256472278175925
10,-0.0985984330055631,-0.233666429446631,-0.0508990096962616,-0.0270390234074093
11,-0.100952413021156,-0.204867344163192,-0.0523702932239705,-0.0293935006139507
12,-0.102118111214642,-0.180756992840659,-0.0541538518163651,-0.0316314362268473
13,-0.102126902924562,-0.158842343261426,-0.0552494205262452,-0.0335695327852307
14,-0.100921251670349,-0.132567645804956,-0.0556756442502673,-0.034586912262051
15,-0.0987391135395977,-0.11309968937943,-0.0573502299615998,-0.0371684224411878
16,-0.0957758591393675,-0.102268393873632,-0.0592492889196155,-0.039385457991726
17,-0.0921326823733627,-0.0905150259112373,-0.0609932194060287,-0.0415728291735705
18,-0.087985381500619,-0.0827267671127927,-0.0622396568387041,-0.0428358289338034
19,-0.0834024768483145,-0.0693423485538599,-0.0634144477759634,-0.0438251932206467
20,-0.0786147138752293,-0.0625335218423455,-0.0646111551168885,-0.0452540202274231
21,-0.0737289189154917,-0.0566253009567969,-0.0654964427443438,-0.0460035417090006
22,-0.0688616706264236,-0.0490036418123847,-0.067185826466805,-0.0469413532949287
23,-0.064032727096307,-0.0400444733366359,-0.0674000496625234,-0.0458064462562172
24,-0.0595737617257467,-0.0444977837083135,-0.0687458722405002,-0.0464185560114152
25,-0.0553469035337418,-0.0374979837127035,-0.0683743856969594,-0.0451615976484336
26,-0.0514146116185771,-0.0311835600368287,-0.0675901394538358,-0.0430398657582465
27,-0.0477926720371388,-0.0246932745882273,-0.0666024043693601,-0.0406038314754766
28,-0.0446531094178195,-0.028584885836627,-0.0661968190776014,-0.0397649865738072
29,-0.0419715312398454,-0.0312276018980706,-0.0648896526965022,-0.0378465110820289
30,-0.0396299124011123,-0.0276572375531205,-0.0618912156080523,-0.03394974619949
31,-0.0376931065173759,-0.0247246369369191,-0.0608404327218657,-0.032521159047382
32,-0.0361821340229279,-0.0253750178660209,-0.059108270989306,-0.0313459309024924
33,-0.0350419740841692,-0.0256511719641442,-0.0566955252658382,-0.0292278630062121
34,-0.034180932628283,-0.0226564600042189,-0.0540460832408154,-0.0266996787203826
35,-0.0336304144163384,-0.0234449618330185,-0.0513827635351028,-0.0251247466962718
36,-0.0330998710239365,-0.0112400127533645,-0.0479816023721529,-0.0219060695712308
37,-0.0329545985825066,-0.0200423753433309,-0.0467869581652714,-0.0225448795946987
38,-0.0331543846527599,-0.0291988779820441,-0.0456524304954885,-0.0234500499867918
39,-0.0334167436305462,-0.0213062860144351,-0.04260698382795,-0.0213976702603867
40,-0.0337158964844228,-0.0203122115703743,-0.036579560555062,-0.0176520111508402
41,-0.0342678218293767,-0.0284618626081353,-0.0352860983455623,-0.0187114828590632
42,-0.0349418636403638,-0.0338632001209932,-0.0336372281314061,-0.0182913750023443
43,-0.0356084815530184,-0.0312875601404362,-0.0306584770035485,-0.0176467981705969
44,-0.0364197557209401,-0.0366530245684669,-0.0288708863968996,-0.0178739413426705
45,-0.0371805297427545,-0.0352225964148369,-0.025810270964482,-0.0169686851626888
46,-0.0380557142369776,-0.0429328649643569,-0.0250285312567567,-0.0180563919869541
47,-0.0389850564716575,-0.0482485280662912,-0.0236174306857466,-0.0185484073201245
48,-0.0400766226250882,-0.0550050476011393,-0.0237275534752259,-0.0204780945662281
49,-0.0411453069288339,-0.0525136980829842,-0.0226253776256351,-0.0201223639713396
50,-0.0419701809171412,-0.0416646293626742,-0.0199350949943512,-0.0180999452497853
51,-0.0427394196839649,-0.0424105935721631,-0.0185768634934702,-0.0182783484076191
52,-0.0435196439829956,-0.0505204719757203,-0.0179558537128374,-0.0193549432311379
53,-0.0440565130364095,-0.0446687299923675,-0.016121816856602,-0.018760904673036
54,-0.044434161898324,-0.0412771759375985,-0.0148144841731201,-0.0188514618172442
55,-0.0446389211279962,-0.0411035148626182,-0.013967785430006,-0.019060249898186
56,-0.0448183907790949,-0.0458500832628052,-0.0149208472204376,-0.0208229541357424
57,-0.0448843886174481,-0.0438950284809892,-0.0149954294687877,-0.0216956298111655
58,-0.0447279017164413,-0.0367599490347561,-0.0134295873181607,-0.0204272115807609
59,-0.044506193268765,-0.0376829418841168,-0.0131918483874247,-0.0212824917767921
60,-0.044160217591946,-0.0389143311384175,-0.0115888562267756,-0.0212122325761687
61,-0.0436765665799893,-0.0392589187626248,-0.0107395787337081,-0.0205875228894378
62,-0.0430312477441809,-0.0328782533664936,-0.0103358884554488,-0.0200266130582232
63,-0.0421458226393281,-0.026363836545108,-0.00937135395188305,-0.0190660376634432
64,-0.0411034457723313,-0.0235957323009368,-0.0088702588149058,-0.0195760126328036
65,-0.0397890898576736,-0.0153461833115536,-0.00749973876921777,-0.0182803428642455
66,-0.0384883319863001,-0.0245994532254667,-0.00791791233358353,-0.0191885525903418
67,-0.03679576881991,-0.0102263510067562,-0.00634369867266768,-0.0168767091839414
68,-0.0349393694342474,-0.00500543941543984,-0.00613963673561291,-0.0162768118098236
69,-0.0331165733288913,-0.00720379520150726,-0.00842095517141391,-0.0200881187306626
70,-0.0313841558858816,-0.0147380978198659,-0.00945210972656082,-0.0208976627708888
71,-0.0296427015627946,-0.0133521997539466,-0.00951686981274036,-0.0201969854783487
72,-0.0279528195256876,-0.0126606632964602,-0.00943494094903228,-0.0194183108637894
73,-0.0263363595770991,-0.00669640046661712,-0.0101474228193074,-0.0197258560819757
74,-0.0246800786249635,-0.00224241944665223,-0.00970674271311128,-0.0177568608060011
75,-0.023387038889793,-0.00870746803063793,-0.0150773013509717,-0.0207943043010034
76,-0.022563546438467,-0.021760277396133,-0.0179373951500202,-0.022801998600652
77,-0.0220281661225844,-0.0206168569028185,-0.0195124056601628,-0.02203473543177
78,-0.021937113652527,-0.0227277656809582,-0.0225763883729376,-0.0236729874062488
79,-0.022141613312174,-0.01827762346909,-0.0238647246245627,-0.0244548289885989
80,-0.0230337161577181,-0.0267232130869156,-0.0301791672301745,-0.0308462089590548
81,-0.0253638029491218,-0.0420204826016158,-0.0482513877476507,-0.0545919539589339
82,-0.0292310653170997,-0.054919454166995,-0.0650915804226292,-0.0750015032612434
83,-0.033677448737171,-0.0521812148355208,-0.0631457273333101,-0.0653137168763789
84,-0.0391889764397496,-0.0658272279142302,-0.0638501196953746,-0.059198947212655
85,-0.0455372001067441,-0.0811681910827235,-0.0620667691037881,-0.0519730492232723
86,-0.0525627774638677,-0.0903145811591312,-0.0619698752291506,-0.0480135244424943
87,-0.0601634426961873,-0.10295715198984,-0.0604207502867219,-0.0418206753626678
88,-0.0679981224645178,-0.101945070252597,-0.0580401149119427,-0.0356184954320149
89,-0.0756884236411445,-0.0928904718856446,-0.0539789927927412,-0.028431319717896
90,-0.0834554609478101,-0.093836599364553,-0.0567674566519883,-0.029835488001395
91,-0.0906605444533568,-0.0832440194900432,-0.0510362512141448,-0.0232713420750764
92,-0.0977861675108135,-0.0837802687354369,-0.0561323462640629,-0.0310298806686426
93,-0.104121156087706,-0.0776873855199479,-0.0493424393854248,-0.0244805133502146
94,-0.109894316024363,-0.0788110294762371,-0.0460268718922318,-0.0233991985504231
95,-0.115065436331545,-0.0819882878423533,-0.0425493251419789,-0.022572496797871
96,-0.119340187504442,-0.0815233848822021,-0.0384937665488625,-0.0210771223862304
97,-0.122502687581446,-0.0739408321383462,-0.0304514855800173,-0.0166134730658125
98,-0.124767738561128,-0.0704533800441435,-0.0284909957049279,-0.0179989957751056
99,-0.126158168124382,-0.0720922039021618,-0.0275249117865585,-0.020407834351343
100,-0.126577886811363,-0.0656223975546557,-0.0250997701728363,-0.0213276918961972
